post,comment
"be greedy when others fearfull hny berlaku disaham fundamental bos, disaham non fundamental ato fundamental jelek gni mn bisa. selamat cuci piring buat para apestor😄

btw bingung gw sm retail2 yg ngamuk2, beli sendiri, masuk sendiri ke saham fundamental kek gni, trs skrg nyangkut nyalahin org lain, nyalahin BEI. $BREN 1 lot cm dpt deviden 200perak bos, dianalisa kgk. klo skrg nyangkut jgn slhin org lain, salahin diri lo sndri.. makanya masuk ke saham2 big caps dgn funda bgs aja, spt $BBRI $BMRI $BBNI idup tenang, dpt return pasti😄",mana ada.. harga wajar BREN itu 50an perak.. Wkwmwkw
"be greedy when others fearfull hny berlaku disaham fundamental bos, disaham non fundamental ato fundamental jelek gni mn bisa. selamat cuci piring buat para apestor😄

btw bingung gw sm retail2 yg ngamuk2, beli sendiri, masuk sendiri ke saham fundamental kek gni, trs skrg nyangkut nyalahin org lain, nyalahin BEI. $BREN 1 lot cm dpt deviden 200perak bos, dianalisa kgk. klo skrg nyangkut jgn slhin org lain, salahin diri lo sndri.. makanya masuk ke saham2 big caps dgn funda bgs aja, spt $BBRI $BMRI $BBNI idup tenang, dpt return pasti😄",) saya siapa HAKA klo harganya di bwh 1000 😆
"be greedy when others fearfull hny berlaku disaham fundamental bos, disaham non fundamental ato fundamental jelek gni mn bisa. selamat cuci piring buat para apestor😄

btw bingung gw sm retail2 yg ngamuk2, beli sendiri, masuk sendiri ke saham fundamental kek gni, trs skrg nyangkut nyalahin org lain, nyalahin BEI. $BREN 1 lot cm dpt deviden 200perak bos, dianalisa kgk. klo skrg nyangkut jgn slhin org lain, salahin diri lo sndri.. makanya masuk ke saham2 big caps dgn funda bgs aja, spt $BBRI $BMRI $BBNI idup tenang, dpt return pasti😄",Kurang Fundamental apa sih perusahaan sekelas $BREN ini world class company lho…
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI",gue liat ada orang jual tanah 100 meter dibekasi 1m wkwokwowkwokw bandar gila bekasi 1m. ya gapapa sih wong tanahnya tanah dia
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI", jika beli tanah bukannya perlu jual tanah itu biar dapat untung?
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI"," Gak lah, tanah bisa ditanami dan menghasilkan."
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI","tanah di envio aja parkiran envio setahun bisa dapet 140 jt kata seorang yg dimandatkan 😁 ya tapi harua koordinasi ama dishub, tanah udah jelas invest paling aman kegunaaan jelas. saham memang ada dividen, tapi dividen trap chuaksss"
"$IHSG mending beli tanah daripada nyicil kagak jelas dibursa yang kebanyakan bandar, beli tanah jadi bandar sendiri. $BBCA $BBRI $BBNI $BMRI",semua balik lagi ke genset dan modal bosq
"Apakah ini yg membuat asing kabur dari RI ???
APBN ditahun 2025, 2026, 2027 habis pertahun untuk bayar utang aja 1000an T🤦‍♂️
$BBRI $BBCA $BMRI $BBNI $TLKM", Negara hancur oleh sekelompok banteng marah karena selama orba mereka gak kebagian.
"sembari screening saham pas malam. Lihat-lihat RTI. hmm....

random: $BBRI $BMRI $BBNI $BBCA $TELE", ritel: serbuuu.... asing: money.. money.. money..
"sembari screening saham pas malam. Lihat-lihat RTI. hmm....

random: $BBRI $BMRI $BBNI $BBCA $TELE",mantap
"$BMRI pucukers....

kapan balik ke 7 ribu an ini ...
mau Avg down malah naik

tag random $BBRI $BBNI", awal September bang kayane
"$BMRI pucukers....

kapan balik ke 7 ribu an ini ...
mau Avg down malah naik

tag random $BBRI $BBNI",wow all in
"$BMRI pucukers....

kapan balik ke 7 ribu an ini ...
mau Avg down malah naik

tag random $BBRI $BBNI",gw juga masih -17 bre nyangkut ampe akhir tahun inimah
"$BMRI pucukers....

kapan balik ke 7 ribu an ini ...
mau Avg down malah naik

tag random $BBRI $BBNI"," avd nyaah pake akun Laen bang bisa dapet harga bawah, kan pusing liat mines 200jt bagi 3 akun , avd BMRI semua di harga bawah"
$BMRI edan 70% pada haki semua,"tapi Alhamdulillahnya masih stagnan harganya, besok bisa naik pelan pelan"
$BMRI edan 70% pada haki semua, iya penasaran nih ama broksum nya
$BBNI $BBCA $BMRI $BBRI Ngeriiiii...., turun lah Gilak aja
$BBNI $BBCA $BMRI $BBRI Ngeriiiii...., klu terancam starlink mestinya ga bakalan lagi nambah beban hutang
$BBNI $BBCA $BMRI $BBRI Ngeriiiii....,mantep turun dlu
hindari big banks $BBCA $BBRI $BMRI $BBNI beralihlah ke $UNVR,“Be fearful when others are greedy and greedy when others are fearful.” - Warren Buffet
hindari big banks $BBCA $BBRI $BMRI $BBNI beralihlah ke $UNVR,$UNVR Pak Bandar lg ngumpet
hindari big banks $BBCA $BBRI $BMRI $BBNI beralihlah ke $UNVR, yg punya $UNVR adem ayem
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI",Yg jelas masih terbuka penurunan diatas 20persen 🤣
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI",tak gundul sek koe
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI","masa sih sejauh itu. Kalau harapan asing bisa jadi. Namanya harapan. Soalnya saya yakin mereka pengen masuk lagi dong. Tapi kalau yang dipegang adalah emiten yang fundamental baik, bisnisnya hanya sedikit terganggu, kelihatannya ini hanya masalah permainan psikologi pada level yang tinggi. Tinggal punya waktu menunggu atau tidak. Selain cash, waktu juga jadi tameng. Asing memang terbaik soal mengambil uang para ritel."
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI",bisa cuma nebar fear biar pada cut loss terus mereka buy back... kayak pertengahan April lalu saham pada longsor cuma sebentar lalu pull back lagi... tergantung sabda fed besok juga sih
"Setelah mereka banyak keluar, baru pengumuman peringkat yang diturunkan dikeluarkan. Maksudnya apa? berharap lokal panik, harga jatuh, mereka masuk lagi? mungkin memang bukan mau keluar beneran, hanya mau koreksi harga saja di porto mereka, karena ekspektasi yang rendah akibat kondisi makro, mungkin. Apa kondisi bisnis rillnya seseram penurunan harga saham?
$BBRI $BBCA $BMRI $BBNI"," yups , siasat trade ... membaca signal market = proyeksi arah angin"
"$PPRI naik tinggi d UMA, turun banyak kek $BBRI $BBNI $BBCA $BMRI diem....BEI 💩", turun 15% wajar lah kecuali ambles sampe 50%
"$PPRI naik tinggi d UMA, turun banyak kek $BBRI $BBNI $BBCA $BMRI diem....BEI 💩","BEI punya aturan yg kalo dipikir aneh..apa tujuan batas ARA dan ARB? jika tujuannya agar tdk Bergerak liar, harusnya selama di alam batas ARA dan ARB tdk perlu ada UMA..naik turun atau fluktuasi harga saham adalah wajar termasuk ketika mencapai ARA or ARB."
"$PPRI naik tinggi d UMA, turun banyak kek $BBRI $BBNI $BBCA $BMRI diem....BEI 💩",emng BEI aneh
"$PPRI naik tinggi d UMA, turun banyak kek $BBRI $BBNI $BBCA $BMRI diem....BEI 💩", biarin aja$IHSG runtuh 4000
"$BMRI

berasa EX DATE"," nunggu d 5,900"
"$BBRI sepertinya retail IDX dimiskinkan Bank BRI saking average down terus terusan karna berharap bakal jackpot dari bank bri ini. Kenyataan nya kaga jackpot. Malahan retail dihajar foreign sampe bertubi2 boncos. Akhirnya karna it mungkin ga ada duit buat buat invest ato averaging down di saham2 lain non blue chips yg mid cap small cap. Mental retail ya gitu, kapan lagi kalo ga skarang masuk BBRI $BMRI $BBNI $ASII, kaya semenjak covid pasti kan rebound. Mentality “pasti balik lagi naik, aman bgt saham big banks” tapi loh kok trrnyata turun terus ya. Jadi panik, dah habis pelor. Woi today naratif nya sudah berubah, bukan covid terus rebound. Gmana kalo kali ini bener2 structural damage di sektor big banks, umkm ancur, ultra mikro ancur. Liat morgan stanley dah downgrade. Hati2 buang duit ke laut bagi retail2. Sayangkan duit mu","waktu covid juga pada takut ekonomi ancur, akhirnya?"
"$BBRI sepertinya retail IDX dimiskinkan Bank BRI saking average down terus terusan karna berharap bakal jackpot dari bank bri ini. Kenyataan nya kaga jackpot. Malahan retail dihajar foreign sampe bertubi2 boncos. Akhirnya karna it mungkin ga ada duit buat buat invest ato averaging down di saham2 lain non blue chips yg mid cap small cap. Mental retail ya gitu, kapan lagi kalo ga skarang masuk BBRI $BMRI $BBNI $ASII, kaya semenjak covid pasti kan rebound. Mentality “pasti balik lagi naik, aman bgt saham big banks” tapi loh kok trrnyata turun terus ya. Jadi panik, dah habis pelor. Woi today naratif nya sudah berubah, bukan covid terus rebound. Gmana kalo kali ini bener2 structural damage di sektor big banks, umkm ancur, ultra mikro ancur. Liat morgan stanley dah downgrade. Hati2 buang duit ke laut bagi retail2. Sayangkan duit mu",Urus uang masing masing saja kali ya…. Semuanya bebas mau CL atau AVD…✌️
"$BBRI sepertinya retail IDX dimiskinkan Bank BRI saking average down terus terusan karna berharap bakal jackpot dari bank bri ini. Kenyataan nya kaga jackpot. Malahan retail dihajar foreign sampe bertubi2 boncos. Akhirnya karna it mungkin ga ada duit buat buat invest ato averaging down di saham2 lain non blue chips yg mid cap small cap. Mental retail ya gitu, kapan lagi kalo ga skarang masuk BBRI $BMRI $BBNI $ASII, kaya semenjak covid pasti kan rebound. Mentality “pasti balik lagi naik, aman bgt saham big banks” tapi loh kok trrnyata turun terus ya. Jadi panik, dah habis pelor. Woi today naratif nya sudah berubah, bukan covid terus rebound. Gmana kalo kali ini bener2 structural damage di sektor big banks, umkm ancur, ultra mikro ancur. Liat morgan stanley dah downgrade. Hati2 buang duit ke laut bagi retail2. Sayangkan duit mu",Masuk karena data bukan spekulasi...maka akan tenang.🙏
$BMRI jangan masuk dulu masih sentimen negatif sama perbankan Indonesia,lol hahaha
$BMRI jangan masuk dulu masih sentimen negatif sama perbankan Indonesia,bnr sihh bro
$BMRI jangan masuk dulu masih sentimen negatif sama perbankan Indonesia,gk ngeri masalah nya dimana
$IHSG $BMRI uda terlalu mahal x ndarrr ... jd nya berat naik,Per sama Vbp masih dibawah bank bank lain
$BMRI cl untuk pindah ke saham nvidia gmn yaa,bad bro
$BMRI cl untuk pindah ke saham nvidia gmn yaa,alesannya knp bang
$BMRI cl untuk pindah ke saham nvidia gmn yaa,"harga nvidia lagi di atas langit, kalaupun masuk lalu untung tumpah ruah pun lain kali jgn di ulangi lagi beli saham yg sudah di atas langit. jgn memaksakan keberuntungan."
$BMRI cl untuk pindah ke saham nvidia gmn yaa,"buset bang, emg sekelas nvidia bs yaa digoreng? ini rencananyaa buat longterm jg sii sbnrnya"
$BMRI cl untuk pindah ke saham nvidia gmn yaa," kalau masalah di goreng yah nggak tahu sih. tp yg saya tahu kalau udah di atas langit udah pasti saya hindari. kalau mau longterm jgn andalkan sepenuh nya ke nvidia, bawa juga AAPL, MSFT, GOOG, AMZN, META lalu buat index pribadi dgn kriteria pembobotan misalnya operating profit atau likuiditas (lapak nya seberapa ramai). nah setelah itu tunggu index nya minus 5% dari ATH lalu cicil2 dan siap kan dana kalau turun jauh dan terus tetap cicil terus ulangi sampai bosan. jgn nekat lah pokoknya. index SP500 luar biasa bagus untuk longterm tapi kan buaaanyak emiten didalamnya, jadi kita tiru aja tapi dgn emiten yg compact. dah itu aja sih"
"sedang meratap kenapa terlanjur avg down $BBRI dan $BMRI padahal malah masih terus ambrol ...
...
gak panik, cuma kesel.
buka akun sekuritas baru aja ya, lupakan ada porto yg masih kebakaran ... 🔥🙃",🤣🤣sama kehabisan modal…
"$BBCA $BBRI $BBNI $BMRI $ASII

Mohon dikaji lagi baik buruknya🙏🏻
Saya makan siang bayar gpp, yang penting ekonomi sumringah. Rupiah kuat.","Aseng asing saking takutnya masyakarat indonesia dapat asupan bergizi sejak dini dan pintar ketika dewasa, mereka 'mengutuk' kebijakan ini dg mendowngrade pasar modal indo a.k.a $IHSG . Dengan demikian program ini memang harus segera dijalankan. cocok nih kayaknya gw jadi buzzer ok $PGAS ok $CGAS"
"$BBCA $BBRI $BBNI $BMRI $ASII

Mohon dikaji lagi baik buruknya🙏🏻
Saya makan siang bayar gpp, yang penting ekonomi sumringah. Rupiah kuat.", Makan doang kalau gak belajar dan berusaha sama aja d*ngu-du*gu juga akhirnya
"$BBCA $BBRI $BBNI $BMRI $ASII

Mohon dikaji lagi baik buruknya🙏🏻
Saya makan siang bayar gpp, yang penting ekonomi sumringah. Rupiah kuat.","abis makan ngantuk, turu 🤣🤣"
"$BBCA $BBRI $BBNI $BMRI $ASII

Mohon dikaji lagi baik buruknya🙏🏻
Saya makan siang bayar gpp, yang penting ekonomi sumringah. Rupiah kuat.",Kaum oke gas2 mah gabakal peduli wkw
"$BBRI $BBCA $BMRI MAU TURUN DALEM KAYAK APAPUN GUE GAK PEDULI, SEROK TIAP MINGGU! DUNIA MAU WW3 KEK, RUPIAH MAU KRISMON KEK, GLOBAL MAU RESESI KEK, GUE GAK PEDULI YG PENTING SEROK DAN JGN BANYAK BACOT YG MAU KAYA JGN TAKUT HAJAR SAJA!!"," Mantaps, dividenya lancar kok ya, emiten bagus BBNI & BMRI"
"$BMRI, leverage itu gmna efeknya","klo engga salah mirip trading limit,enak untuk 1 day hit"
"$BMRI, leverage itu gmna efeknya"," kalau 2x maksud nya gmn bang, mis masuk 500 k kalau naik 5% dapat 2x 5% yah"
"$CPIN ini saham kayak dijagain gak boleh naek tinggi, dikasih pager tinggi bener...moga2 ada yg tergerak duitnya buat rubuhin pagernya....", apakah saham perayaman tidak di ijinkan buat naik
"$CPIN ini saham kayak dijagain gak boleh naek tinggi, dikasih pager tinggi bener...moga2 ada yg tergerak duitnya buat rubuhin pagernya....", mdhan bs naik sampai 5700
"$CPIN ini saham kayak dijagain gak boleh naek tinggi, dikasih pager tinggi bener...moga2 ada yg tergerak duitnya buat rubuhin pagernya....","yah yg buat peraturan begitu sih gak ada bang, ada beberapa kemungkinan"
"$CPIN dividen final 30 harga saham 5200

$BSSR jika harga saham berapa jika dividen final 350 up ?",bren 2 piah harga 13k 🤫
"$CPIN dividen final 30 harga saham 5200

$BSSR jika harga saham berapa jika dividen final 350 up ?",3100 nih
"$JPFA $CPIN supply chain nya nggak sehat

distributor GPM <±5%, kadang cuma dikasi cuan cashback an","yang sehat yang gimana?? tapi kan distributor tidak ada kerugian,, barang ga laku bisa di pulangi"
"$JPFA $CPIN supply chain nya nggak sehat

distributor GPM <±5%, kadang cuma dikasi cuan cashback an"," Kartel narkoba juga begini, mami kurir distri gak boleh margin besar besar. Gedeg gak kenceng uang kembali"
$EMTK kpn maen ke 500an lg ndarr..?,gak bakal kayae
$EMTK naek turun lagi 422. begitu melulu. penutupan mesti turun 422,anda salah sekarang 420 😂😂 et dah malah bner 🗿 nih saham mending di tek tokin aja dah
$EMTK naek turun lagi 422. begitu melulu. penutupan mesti turun 422, et orang dalam wkwk
"Berhubung liga champions epl dan liga eropa lain lagi libur bisa lah kita support timnas dulu $EMTK $SCMA

Ramdom tag
$GOTO $BREN $BBRI","Perhatikan, bahkan dalam acara seperti Piala Dunia kemarin bisa terjadi kejutan yang tidak terduga."
"Berhubung liga champions epl dan liga eropa lain lagi libur bisa lah kita support timnas dulu $EMTK $SCMA

Ramdom tag
$GOTO $BREN $BBRI","Ya, benar juga... kadang-kadang saham tidak menunjukkan kenaikan yang pasti."
"$CNMA Melihat betapa cerahnya masa depan perbioskopan mau tak mau Kompetitor mulai lahir dimana"".. Mending $EMTK dari pada CNMA.. EMTK restoran numpang jualan dibioskop 😆",kompetitor yg mana mas yg mau muncul?
"$CNMA Melihat betapa cerahnya masa depan perbioskopan mau tak mau Kompetitor mulai lahir dimana"".. Mending $EMTK dari pada CNMA.. EMTK restoran numpang jualan dibioskop 😆"," Sudah muncul mas, PLATINUM CINEPLEX, Tripar Multivision Plus.. dibawah bendera $RAAM , Bioskopnya kekinian dan rata"" ada di Pakuwon mall.. 😬"
$EMTK paling mentok di angka 402. RUPS gak ngaruh. CL ajah, Sudah. $EMTK termasuk saham BUSUK. Dilihat dr penurunan 3 tahun -82%
"$EMTK
Titip sendal menjelang public expose 🫡",ngimpi bang
"$EMTK
Titip sendal menjelang public expose 🫡",Iseng-iseng berhadiah bang
"$EMTK
Titip sendal menjelang public expose 🫡", jangan terlalu berharap. saham nie sham busuk. lihat materi penyampaian laporannya minus
"$EMTK
Titip sendal menjelang public expose 🫡",lalu ngapain kau masih ngintip2 saham ini?
"$EMTK
Titip sendal menjelang public expose 🫡","yang tebar fear, nanti pas naik mah ikutan beli biasanya 😄"
"$EMTK
Titip sendal menjelang public expose 🫡",deviden cuman 5 rp. apa yg loe harapin pada. tinggal beberapa hari RUPS harga segitu malah turun
"$EMTK naik dikit turun laik
naik dikit turun lagi
turun turun terus",Udah cutloss di harga berapa bang?
"$EMTK naik dikit turun laik
naik dikit turun lagi
turun turun terus",$EMTK saya dah masuk di harga avg 396. Mudah2an beneran punya prospek yang ciamik. EMTK it's yours now... come on do the best for this year
$EMTK saham ini kalau ngikutin pola tahun kmren. harusnya pada RUPS bisa naek 100point. cuman gak tahu knp nih saham susah bgt naeknya. sementara tutup mata sampai tgl 12 aja dlu,beneran 100 point pak?
$EMTK saham yang punya banyakan ritel. apa bakalan naek?," Ga bakalan naek bang ga usah dibeli, kalo udh punya mending lu cutloss aja 🤣"
$EMTK saham yang punya banyakan ritel. apa bakalan naek?, Gimana cara cek komposisi kempilikan saham anatara ritel dan non ritel bang ?
$EMTK saham yang punya banyakan ritel. apa bakalan naek?,"ads daftarnya. PD, XL itu retail"
$EMTK saham yang punya banyakan ritel. apa bakalan naek?,"ente bertanya pada orang yg salah, si @Arifnureffendhi itu ga paham pertanyaan ente, jadi jawaban dia ngawur.. nanti ane spill cara liat komposisi kepemilikan saham $EMTK"
$EMTK saham yang punya banyakan ritel. apa bakalan naek?,"ente bukannya udah CL bang, kok masih disini 😅"
$EMTK menang hak siar Timnas tetep gak ngaruh ya?,anomali kyae
$EMTK menang hak siar Timnas tetep gak ngaruh ya?,sama sekali. ga bakal. dpt hak siar piala dunia kemarin malah turun 1000 lbh harga nya
$EMTK menang hak siar Timnas tetep gak ngaruh ya?, @danusubagio70 itu karena laba menurun ditambah ada sentimen negatif. kalau sekarang harga sudah murah ditambah $EMTK sudah merambah ke beberapa sektor usaha.
$EMTK menang hak siar Timnas tetep gak ngaruh ya?," cocokmologi NUBI !! yang pasti sih $EMTK skrg masih downtrend, kemarin reject keras di 450 !!! superbank tiap kuartal rugi !!!"
$EMTK menang hak siar Timnas tetep gak ngaruh ya?,kalau downtrend iya tp kalau jelek2 banget enggak. setidaknya ini adalah pucuk dr downtrend. tinggal nunggu tgl 12
$EMTK bagi devident😊, bukannya ditahun 2023 rugi ?
$EMTK bagi devident😊,baca laporannya lagi ndan.
$EMTK @Anthem Boom! Target Hit! 🎯, besuk menurutmu naik atau turun?
$EMTK @Anthem Boom! Target Hit! 🎯,gw uda cuan ga gw liat lagi🤣🤣 kan uda gw bilang bye2. move on dong org uda cuan ya liat saham lain🤣 CUAN menyala dar
$EMTK @Anthem Boom! Target Hit! 🎯,yg penting hit target 🎯🤪 Dan prediksi itu bukan buat lu kok. Lu yg kepo ke post gw kan. 🤣
"$EMTK
Besok rups ya?
Kasih kabar positif dong","belum ada kabar positif, eps tahun lalu minus, bagi dividen sepertinya tidak akan terjadi, kalaupun bagi dividen paling cuma seuprit aja"
"$EMTK
Besok rups ya?
Kasih kabar positif dong", deviden dikit doank ini
"$EMTK
Besok rups ya?
Kasih kabar positif dong",bahkan ga ada. 2023 rugi
"$EMTK
Besok rups ya?
Kasih kabar positif dong", wkwkwkwkwk
"$EMTK
Besok rups ya?
Kasih kabar positif dong",kabar positifnya dapat ngopi sama sovenir
"$EMTK menurut penelitian, orang yang suka menggambar polla pattern dan sejenisnya, maka dialah calon trader sejati yg akan sukses, camkan itu. 😎🤡", $EMTK Sampah Bursa bang Mesi. 1 tahun Longsor 43%. Untung cuma pegang 10 lot
"$EMTK menurut penelitian, orang yang suka menggambar polla pattern dan sejenisnya, maka dialah calon trader sejati yg akan sukses, camkan itu. 😎🤡"," massa ? km masuknya kecepetan, besok naik ya lihat 👀"
" kalo saran saya jangan beli saham karena ngikutin orang lain bang.

Timeframe, modal, mental dan income tiap orang beda2.

Timeframe saya 10 tahun.
Modal saya 10 M.
Mental saya dulu pernah liat aset -95% dan bisa recover.
Income saya 350 jt per bulan.G914

Posisi saya disini baru 500 jt an, seandainya hilang semua juga saya ikhlas, saya cmn perlu menunda pensiun 1.5 bulan uangnya sudah balik dari gaji saya.

Saya udah di posisi nothing to lose 😂

Kalo saya pribadi yakin sama $EMTK dan saat ini porsi terbesar di porto saham saya.",haha thanks insightnya bang. kalau boleh tau sekarang average emtk di berapa bang?
" kalo saran saya jangan beli saham karena ngikutin orang lain bang.

Timeframe, modal, mental dan income tiap orang beda2.

Timeframe saya 10 tahun.
Modal saya 10 M.
Mental saya dulu pernah liat aset -95% dan bisa recover.
Income saya 350 jt per bulan.G914

Posisi saya disini baru 500 jt an, seandainya hilang semua juga saya ikhlas, saya cmn perlu menunda pensiun 1.5 bulan uangnya sudah balik dari gaji saya.

Saya udah di posisi nothing to lose 😂

Kalo saya pribadi yakin sama $EMTK dan saat ini porsi terbesar di porto saham saya.", avg di 426
" kalo saran saya jangan beli saham karena ngikutin orang lain bang.

Timeframe, modal, mental dan income tiap orang beda2.

Timeframe saya 10 tahun.
Modal saya 10 M.
Mental saya dulu pernah liat aset -95% dan bisa recover.
Income saya 350 jt per bulan.G914

Posisi saya disini baru 500 jt an, seandainya hilang semua juga saya ikhlas, saya cmn perlu menunda pensiun 1.5 bulan uangnya sudah balik dari gaji saya.

Saya udah di posisi nothing to lose 😂

Kalo saya pribadi yakin sama $EMTK dan saat ini porsi terbesar di porto saham saya.",waduh udh minus brp di emtk bang ??? 😨
" kalo saran saya jangan beli saham karena ngikutin orang lain bang.

Timeframe, modal, mental dan income tiap orang beda2.

Timeframe saya 10 tahun.
Modal saya 10 M.
Mental saya dulu pernah liat aset -95% dan bisa recover.
Income saya 350 jt per bulan.G914

Posisi saya disini baru 500 jt an, seandainya hilang semua juga saya ikhlas, saya cmn perlu menunda pensiun 1.5 bulan uangnya sudah balik dari gaji saya.

Saya udah di posisi nothing to lose 😂

Kalo saya pribadi yakin sama $EMTK dan saat ini porsi terbesar di porto saham saya."," realized profitnya sudah lumayan bang dari $EMTK sekitar 30 jt. Ada unrealized profit -60 jt, tapi namanya unrealized ngga ngaruh apa2 bang, cmn angka2 khayalan saja sebelum dijual sahamnya.
"
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?", Menurut bisikan $BUKA mau alihkan ke bisnis SASS dibandingkan kembali berkutat di e-commerce. Apakah keputusan yang tepat?
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?", tepat
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?",bisnis SASS itu apa kak ??
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?",typo gan harusnya saas
"$EMTK

Saya secara pribadi sangat suka bisnis gurita EMTK. Yang sangat luar biasa, mereka berani melakukan akusisi tanpa hutang, right issue. Lain hal sistem akusisi holding lain seperti yg hype sekarang PP, cash nya ga cukup tapi berani hutang untuk akusisi.

Ada juga perusahaan yg dibentuk dari kecil hingga besar yang akhirnya dijual penuh ke pihak lain seperti DANA.

Tapi banyak juga kesalahan yg dilakukan seperti pembelian lisensi BB

Baru2 ini saja mereka mengakusisi $CASS, masih belum tau mau dikembangkan menjadi apa setelah bergabung ke EMTEK.

Apakah ini waktunya untuk akumulasi kembali perusahaan holding media ini?","software as a servicr , jadi apps nya berbayar dipakai user"
$EMTK invest udh setahun longsor 400 point cuma dapat dividen Rp 4 perak doang. Udh gitu RUPS gak ada disuguhin makan minum datang jauh2 smpe kehausan nungguin RUPSnya. 🙃 🙃 😰,avd brpa om?
$EMTK invest udh setahun longsor 400 point cuma dapat dividen Rp 4 perak doang. Udh gitu RUPS gak ada disuguhin makan minum datang jauh2 smpe kehausan nungguin RUPSnya. 🙃 🙃 😰,orang sabar disayang bandar
